Mercury/Apollodorus (Survival),Mercury/Apollodorus (Survival)
Rotation A,Rotation A.1
"2,000 Credits Cache",Common (50.00%)
100 Endo,Common (50.00%)
Rotation B,Rotation B
Parry,Rare (7.69%)
Steel Fiber,Rare (7.69%)
Serration,Rare (7.69%)
Incendiary Coat,Rare (7.69%)
Hornet Strike,Rare (7.69%)
Intensify,Rare (7.69%)
Lith N14 Relic,Rare (7.69%)
Lith W3 Relic,Rare (7.69%)
Lith G8 Relic,Rare (7.69%)
Lith T10 Relic,Rare (7.69%)
Lith R4 Relic,Rare (7.69%)
Lith H9 Relic,Rare (7.69%)
Lith C10 Relic,Rare (7.69%)
Rotation C,Rotation C
Arrow Mutation,Rare (3.76%)
Rifle Ammo Mutation,Rare (3.76%)
Sniper Ammo Mutation,Rare (3.76%)
Shotgun Ammo Mutation,Rare (3.76%)
Pistol Ammo Mutation,Rare (3.76%)
Cleanse Grineer,Rare (3.76%)
Lith N14 Relic,Uncommon (11.06%)
Lith W3 Relic,Uncommon (11.06%)
Lith G8 Relic,Uncommon (11.06%)
Lith T10 Relic,Uncommon (11.06%)
Lith R4 Relic,Uncommon (11.06%)
Lith H9 Relic,Uncommon (11.06%)
Lith C10 Relic,Uncommon (11.06%)
,
Mercury/Lares (Defense),Mercury/Lares (Defense)
Rotation A,Rotation A
Magazine Warp,Rare (9.09%)
Trick Mag,Rare (9.09%)
Pressure Point,Rare (9.09%)
Ammo Drum,Rare (9.09%)
Lith G8 Relic,Rare (9.09%)
Lith W3 Relic,Rare (9.09%)
Lith R4 Relic,Rare (9.09%)
Lith C10 Relic,Rare (9.09%)
Lith T10 Relic,Rare (9.09%)
Lith H9 Relic,Rare (9.09%)
Lith N14 Relic,Rare (9.09%)
Rotation B,Rotation B
Reflex Coil,Rare (8.33%)
Cryo Rounds,Rare (8.33%)
Hell's Chamber,Rare (8.33%)
Shocking Touch,Rare (8.33%)
100 Endo,Rare (8.33%)
Meso M4 Relic,Rare (8.33%)
Meso G5 Relic,Rare (8.33%)
Meso B8 Relic,Rare (8.33%)
Meso P13 Relic,Rare (8.33%)
Meso P14 Relic,Rare (8.33%)
Meso C9 Relic,Rare (8.33%)
Meso W3 Relic,Rare (8.33%)
Rotation C,Rotation C
Metal Auger,Rare (8.33%)
Ravage,Rare (8.33%)
Continuity,Rare (8.33%)
Master Thief,Rare (8.33%)
200 Endo,Rare (8.33%)
Meso M4 Relic,Rare (8.33%)
Meso G5 Relic,Rare (8.33%)
Meso B8 Relic,Rare (8.33%)
Meso P13 Relic,Rare (8.33%)
Meso P14 Relic,Rare (8.33%)
Meso C9 Relic,Rare (8.33%)
Meso W3 Relic,Rare (8.33%)
,
Mercury/Caloris (Rescue),Mercury/Caloris (Rescue)
Rotation B,Rotation B
Vapor Specter Blueprint,Very Common (100.00%)
Rotation C,Rotation C
Phase Specter Blueprint,Very Common (100.00%)
,
Mercury/Elion (Capture),Mercury/Elion (Capture)
Vitality,Uncommon (10.84%)
Fast Deflection,Uncommon (10.84%)
Rush,Uncommon (11.06%)
Magazine Warp,Uncommon (10.84%)
Trick Mag,Uncommon (10.84%)
Pressure Point,Legendary (0.34%)
Ammo Drum,Uncommon (11.06%)
Fast Hands,Uncommon (10.84%)
Quickdraw,Uncommon (10.84%)
Health Restore (Large),Uncommon (10.84%)
Omni Ammo Box,Legendary (0.34%)
North Wind,Legendary (0.34%)
Shocking Touch,Legendary (0.34%)
Molten Impact,Legendary (0.34%)
Stretch,Legendary (0.34%)
,
Mercury/Terminus (Caches),Mercury/Terminus (Caches)
Rotation A,Rotation A
"2,500 Credits Cache",Very Common (100.00%)
Rotation B,Rotation B
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (22.11%)
400 Endo,Ultra Rare (1.01%)
400 Endo,Ultra Rare (1.01%)
240X Polymer Bundle,Uncommon (12.65%)
750X Circuits,Uncommon (12.65%)
750X Alloy Plate,Uncommon (12.65%)
Rotation C,Rotation C
80 Endo,Uncommon (15.10%)
150 Endo,Uncommon (15.10%)
Morphics,Uncommon (15.10%)
Gallium,Uncommon (15.10%)
Neurodes,Uncommon (15.10%)
2X Morphics,Rare (5.50%)
2X Gallium,Rare (5.50%)
2X Neurodes,Rare (5.50%)
160 Endo,Rare (5.50%)
Argon Crystal,Legendary (0.67%)
Tellurium,Legendary (0.67%)
Nitain Extract,Legendary (0.67%)
Xiphos Fuselage Blueprint,Legendary (0.50%)
,
Mercury/Tolstoj (Assassination),Mercury/Tolstoj (Assassination)
Seer Blueprint,Common (38.72%)
Seer Barrel,Common (38.72%)
Seer Receiver,Uncommon (22.56%)
,
Event: Mercury/Neruda (Caches),Event: Mercury/Neruda (Caches)
Rotation A,Rotation A
"2,500 Credits Cache",Very Common (100.00%)
Rotation B,Rotation B
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (12.65%)
400 Endo,Uncommon (22.11%)
400 Endo,Ultra Rare (1.01%)
400 Endo,Ultra Rare (1.01%)
240X Polymer Bundle,Uncommon (12.65%)
750X Circuits,Uncommon (12.65%)
750X Alloy Plate,Uncommon (12.65%)
Rotation C,Rotation C
80 Endo,Uncommon (15.10%)
150 Endo,Uncommon (15.10%)
Morphics,Uncommon (15.10%)
Gallium,Uncommon (15.10%)
Neurodes,Uncommon (15.10%)
2X Morphics,Rare (5.50%)
2X Gallium,Rare (5.50%)
2X Neurodes,Rare (5.50%)
160 Endo,Rare (5.50%)
Argon Crystal,Legendary (0.67%)
Tellurium,Legendary (0.67%)
Nitain Extract,Legendary (0.67%)
Xiphos Fuselage Blueprint,Legendary (0.50%)
,
Event: Mercury/Caduceus (Exterminate),Event: Mercury/Caduceus (Exterminate)
Morphic Transformer,Rare (5.64%)
Automatic Trigger,Common (38.72%)
Phaedra Receiver,Rare (5.64%)
Extend,Common (38.72%)
Shell Rush,Rare (5.64%)
Shell Rush,Rare (5.64%)
,
Mercury/Odin (Interception),Mercury/Odin (Interception)
Rotation A,Rotation A
Vitality,Uncommon (10.00%)
Magazine Warp,Uncommon (10.00%)
Trick Mag,Uncommon (10.00%)
