Mob,Mod,Chance
The Sergeant,Mod Drop Chance: 100.00%,Mod Drop Chance: 100.00%.1
,Magazine Warp,Common (38.72%)
,Thief's Wit,Common (38.72%)
,Shocking Touch,Rare (7.52%)
,Reflex Coil,Rare (7.52%)
,Reflex Coil,Rare (7.52%)
,,
Vem Tabook,Mod Drop Chance: 25.00%,Mod Drop Chance: 25.00%
,Barrel Diffusion,Uncommon (20.00%)
,Split Chamber,Uncommon (20.00%)
,Hell's Chamber,Uncommon (20.00%)
,Natural Talent,Uncommon (20.00%)
,80 Endo,Uncommon (20.00%)
,,
Leekter,Mod Drop Chance: 50.00%,Mod Drop Chance: 50.00%
,Barrel Diffusion,Uncommon (20.00%)
,Split Chamber,Uncommon (20.00%)
,Hell's Chamber,Uncommon (20.00%)
,Natural Talent,Uncommon (20.00%)
,80 Endo,Uncommon (20.00%)
,,
Shik Tal,Mod Drop Chance: 50.00%,Mod Drop Chance: 50.00%
,Barrel Diffusion,Uncommon (20.00%)
,Split Chamber,Uncommon (20.00%)
,Hell's Chamber,Uncommon (20.00%)
,Natural Talent,Uncommon (20.00%)
,80 Endo,Uncommon (20.00%)
,,
Executioner Zura,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Executioner Garesh,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Executioner Harkonar,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Executioner Reth,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Executioner Dhurnam,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,Silent Battery,Common (45.83%)
,50 Endo,Common (45.83%)
,80 Endo,Rare (8.33%)
,,
Executioner Vay Molta,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
,50 Endo,Uncommon (22.11%)
,80 Endo,Rare (2.01%)
,,
Executioner Dok Thul,Mod Drop Chance: 20.00%,Mod Drop Chance: 20.00%
,15 Endo,Very Common (75.88%)
