Target Acquired,Target Acquired,Target Acquired
Source,Mod Drop Chance,Chance
Tusk Thumper Bull,15.00%,Uncommon (12.50%)
Tusk Thumper,15.00%,Uncommon (12.50%)
Zealot Proselytizer,20.00%,Rare (8.33%)
Zealot Herald,20.00%,Rare (8.33%)
Zealot Baptizer,20.00%,Rare (8.33%)
Recon Commander,100.00%,Legendary (0.50%)
Kuva Larvling,20.00%,Rare (8.33%)
Zealoid Prelate,100.00%,Rare (2.78%)
Saturn Six Fugitive,20.00%,Rare (8.33%)
Wolf Of Saturn Six,100.00%,Rare (2.78%)
Wolf Of Saturn Six,100.00%,Rare (2.78%)
Narmer Thumper Bull,15.00%,Uncommon (12.50%)
Narmer Thumper,15.00%,Uncommon (12.50%)
,,
Firewalker,Firewalker,Firewalker
Source,Mod Drop Chance,Chance
Kuva Jester,2.50%,Uncommon (20.00%)
Drekar Hellion,30.00%,Rare (2.01%)
,,
Cryo Coating,Cryo Coating,Cryo Coating
Source,Mod Drop Chance,Chance
Glacik Commander,15.00%,Uncommon (20.00%)
,,
High Noon,High Noon,High Noon
Source,Mod Drop Chance,Chance
Feyarch Specter,100.00%,Rare (6.06%)
Brood Mother,3.00%,Ultra Rare (1.01%)
Deimos Brood Mother,3.00%,Ultra Rare (1.01%)
,,
Twirling Spire,Twirling Spire,Twirling Spire
Source,Mod Drop Chance,Chance
Recon Commander,100.00%,Legendary (0.50%)
,,
Lightning Rod,Lightning Rod,Lightning Rod
Source,Mod Drop Chance,Chance
Kuva Scorpion,3.00%,Common (37.94%)
Ghoul Expired,20.00%,Common (37.94%)
Ancient Healer,3.00%,Uncommon (25.29%)
Swarm Mutalist Moa,3.00%,Uncommon (25.29%)
Scorpion,3.00%,Common (37.94%)
Deimos Ancient Healer,3.00%,Uncommon (25.29%)
Deimos Swarm Mutalist Moa,3.00%,Uncommon (25.29%)
Narmer Scorpion,3.00%,Common (37.94%)
,,
Arcane Grace,Arcane Grace,Arcane Grace
Source,Mod Drop Chance,Chance
Eidolon Hydrolyst (Special),100.00%,Rare (5.00%)
,,
Raider Matrix,Raider Matrix,Raider Matrix
Source,Mod Drop Chance,Chance
Elite Taro Basilisk,15.00%,Uncommon (12.32%)
Taro Basilisk,15.00%,Rare (7.37%)
Orm Gox,15.00%,Rare (5.56%)
Elite Axio Harpi,15.00%,Uncommon (12.32%)
Axio Harpi,15.00%,Rare (7.37%)
Vorac Gox,15.00%,Rare (3.16%)
Elite Kosma Cutter,15.00%,Uncommon (12.32%)
Kosma Cutter,15.00%,Uncommon (22.92%)
,,
Iron Phoenix,Iron Phoenix,Iron Phoenix
Source,Mod Drop Chance,Chance
Tusk Reaver,3.00%,Legendary (0.50%)
Tusk Hellion,3.00%,Legendary (0.50%)
Tusk Hellion,3.00%,Legendary (0.50%)
Tusk Lancer,3.00%,Legendary (0.50%)
Nightwatch Reaver,3.00%,Legendary (0.50%)
Kuva Hellion,3.00%,Legendary (0.50%)
Kuva Lancer,3.00%,Legendary (0.50%)
Arid Hellion,3.00%,Legendary (0.50%)
Frontier Hellion,3.00%,Legendary (0.50%)
Hellion,3.00%,Legendary (0.50%)
Lancer,3.00%,Legendary (0.50%)
Arid Lancer,3.00%,Legendary (0.50%)
Frontier Lancer,3.00%,Legendary (0.50%)
Drekar Scorpion,3.00%,Legendary (0.50%)
Lancer Survivor,3.00%,Legendary (0.50%)
Narmer Commander,3.00%,Legendary (0.50%)
Narmer Hellion,3.00%,Legendary (0.50%)
Narmer Lancer,3.00%,Legendary (0.50%)
Narmer Coildrive,3.00%,Legendary (0.50%)
Kuva Lich Agor Rok (Level 0 - 69),3.00%,Legendary (0.67%)
Special Duty Coildrive,3.00%,Legendary (0.50%)
Coildrive,3.00%,Legendary (0.50%)
Rogg-417,3.00%,Legendary (0.50%)
,,
Spare Parts,Spare Parts,Spare Parts
Source,Mod Drop Chance,Chance
Corrupted Drahk Master,3.00%,Uncommon (11.06%)
Corrupted Heavy Gunner,3.00%,Uncommon (11.06%)
Lephantis,100.00%,Uncommon (22.11%)
Corrupted Bombard,3.00%,Uncommon (11.06%)
Corrupted Nullifier,3.00%,Uncommon (11.06%)
,,
Growing Power,Growing Power,Growing Power
Source,Mod Drop Chance,Chance
Knave Specter,100.00%,Rare (6.06%)
,,
Squad Renew,Squad Renew,Squad Renew
Source,Mod Drop Chance,Chance
Elite Taro Harpi,15.00%,Legendary (0.84%)
Elite Axio Harpi,15.00%,Ultra Rare (1.12%)
Axio Harpi,15.00%,Legendary (0.50%)
Elite Vorac Harpi,15.00%,Legendary (0.67%)
Vorac Harpi,15.00%,Legendary (0.67%)
Elite Gyre Taktis,15.00%,Legendary (0.85%)
Gyre Taktis,15.00%,Legendary (0.67%)
,,
Loyal Companion,Loyal Companion,Loyal Companion
Source,Mod Drop Chance,Chance
Tamm,3.00%,Uncommon (25.29%)
Corrupted Drahk,3.00%,Uncommon (25.29%)
Kubrow,3.00%,Uncommon (25.29%)
Kuva Drahk,3.00%,Uncommon (25.29%)
Drahk,3.00%,Uncommon (25.29%)
,,
Warm Coat,Warm Coat,Warm Coat
Source,Mod Drop Chance,Chance
Tusk Heavy Gunner,10.00%,Uncommon (25.29%)
Tusk Bombard,3.00%,Uncommon (25.29%)
Tusk Mortar Bombard,3.00%,Uncommon (25.29%)
Arcane Boiler,3.00%,Uncommon (15.18%)
Kuva Heavy Gunner,10.00%,Uncommon (25.29%)
Kuva Bombard,3.00%,Uncommon (25.29%)
Bombard,3.00%,Uncommon (25.29%)
Manic Bombard,40.00%,Uncommon (25.29%)
Boiler,3.00%,Uncommon (15.18%)
Toxic Ancient,3.00%,Uncommon (15.18%)
Drekar Manic Bombard,40.00%,Uncommon (25.29%)
Narmer Bombard,3.00%,Uncommon (25.29%)
,,
Redirection,Redirection,Redirection
Source,Mod Drop Chance,Chance
Derivator Crewman,3.00%,Uncommon (25.29%)
Tusk Elite Lancer,3.00%,Uncommon (25.29%)
Dargyn Pilot,3.00%,Uncommon (25.29%)
Juno Crewman,3.00%,Uncommon (25.29%)
Nox,3.00%,Uncommon (19.36%)
Elite Lancer,3.00%,Uncommon (25.29%)
Kuva Elite Lancer,3.00%,Uncommon (25.29%)
Draga,3.00%,Uncommon (25.29%)
Elite Arid Lancer,3.00%,Uncommon (25.29%)
Elite Frontier Lancer,3.00%,Uncommon (25.29%)
Brood Mother,3.00%,Uncommon (25.29%)
Ancient Disruptor,3.00%,Uncommon (25.29%)
Tar Mutalist Moa,3.00%,Uncommon (25.29%)
Darek Draga,3.00%,Uncommon (25.29%)
Scavenger Drone,3.00%,Common (38.72%)
Shock Draga,3.00%,Uncommon (25.29%)
Deimos Therid,3.00%,Uncommon (25.29%)
Deimos Brood Mother,3.00%,Uncommon (25.29%)
Narmer Scavenger Drone,3.00%,Common (38.72%)
Narmer Elite Lancer,3.00%,Uncommon (25.29%)
,,
Augur Accord,Augur Accord,Augur Accord
Source,Mod Drop Chance,Chance
Recon Commander,100.00%,Uncommon (11.06%)
,,
Point Blank,Point Blank,Point Blank
Source,Mod Drop Chance,Chance
Orphid Husks,3.00%,Uncommon (11.06%)
Volatile Runner,3.00%,Uncommon (11.06%)
Deimos Runner,3.00%,Uncommon (11.06%)
,,
Crossing Snakes,Crossing Snakes,Crossing Snakes
Source,Mod Drop Chance,Chance
Tusk Elite Lancer,3.00%,Legendary (0.67%)
