Axi A1 Relic (Intact),Axi A1 Relic (Intact).1
Akstiletto Prime Barrel,Uncommon (11.00%)
Trinity Prime Systems Blueprint,Uncommon (25.33%)
Fragor Prime Head,Uncommon (25.33%)
Dual Kamas Prime Handle,Uncommon (11.00%)
Braton Prime Stock,Uncommon (25.33%)
Nikana Prime Blueprint,Rare (2.00%)
,
Axi A1 Relic (Exceptional),Axi A1 Relic (Exceptional)
Akstiletto Prime Barrel,Uncommon (13.00%)
Trinity Prime Systems Blueprint,Uncommon (23.33%)
Fragor Prime Head,Uncommon (23.33%)
Dual Kamas Prime Handle,Uncommon (13.00%)
Braton Prime Stock,Uncommon (23.33%)
Nikana Prime Blueprint,Rare (4.00%)
,
Axi A1 Relic (Flawless),Axi A1 Relic (Flawless)
Akstiletto Prime Barrel,Uncommon (17.00%)
Trinity Prime Systems Blueprint,Uncommon (20.00%)
Fragor Prime Head,Uncommon (20.00%)
Dual Kamas Prime Handle,Uncommon (17.00%)
Braton Prime Stock,Uncommon (20.00%)
Nikana Prime Blueprint,Rare (6.00%)
,
Axi A1 Relic (Radiant),Axi A1 Relic (Radiant)
Akstiletto Prime Barrel,Uncommon (20.00%)
Trinity Prime Systems Blueprint,Uncommon (16.67%)
Fragor Prime Head,Uncommon (16.67%)
Dual Kamas Prime Handle,Uncommon (20.00%)
Braton Prime Stock,Uncommon (16.67%)
Nikana Prime Blueprint,Uncommon (10.00%)
,
Axi A10 Relic (Intact),Axi A10 Relic (Intact)
Aksomati Prime Link,Rare (2.00%)
Wukong Prime Chassis Blueprint,Uncommon (11.00%)
Paris Prime Grip,Uncommon (11.00%)
Akbronco Prime Blueprint,Uncommon (25.33%)
Forma Blueprint,Uncommon (25.33%)
Stradavar Prime Receiver,Uncommon (25.33%)
,
Axi A10 Relic (Exceptional),Axi A10 Relic (Exceptional)
Aksomati Prime Link,Rare (4.00%)
Wukong Prime Chassis Blueprint,Uncommon (13.00%)
Paris Prime Grip,Uncommon (13.00%)
Akbronco Prime Blueprint,Uncommon (23.33%)
Forma Blueprint,Uncommon (23.33%)
Stradavar Prime Receiver,Uncommon (23.33%)
,
Axi A10 Relic (Flawless),Axi A10 Relic (Flawless)
Aksomati Prime Link,Rare (6.00%)
Wukong Prime Chassis Blueprint,Uncommon (17.00%)
Paris Prime Grip,Uncommon (17.00%)
Akbronco Prime Blueprint,Uncommon (20.00%)
Forma Blueprint,Uncommon (20.00%)
Stradavar Prime Receiver,Uncommon (20.00%)
,
Axi A10 Relic (Radiant),Axi A10 Relic (Radiant)
Aksomati Prime Link,Uncommon (10.00%)
Wukong Prime Chassis Blueprint,Uncommon (20.00%)
Paris Prime Grip,Uncommon (20.00%)
Akbronco Prime Blueprint,Uncommon (16.67%)
Forma Blueprint,Uncommon (16.67%)
Stradavar Prime Receiver,Uncommon (16.67%)
,
Axi A11 Relic (Intact),Axi A11 Relic (Intact)
Atlas Prime Neuroptics Blueprint,Rare (2.00%)
Pangolin Prime Blade,Uncommon (11.00%)
Wukong Prime Systems Blueprint,Uncommon (11.00%)
Zhuge Prime String,Uncommon (25.33%)
Fang Prime Blueprint,Uncommon (25.33%)
Burston Prime Receiver,Uncommon (25.33%)
,
Axi A11 Relic (Exceptional),Axi A11 Relic (Exceptional)
Atlas Prime Neuroptics Blueprint,Rare (4.00%)
Pangolin Prime Blade,Uncommon (13.00%)
Wukong Prime Systems Blueprint,Uncommon (13.00%)
Zhuge Prime String,Uncommon (23.33%)
Fang Prime Blueprint,Uncommon (23.33%)
Burston Prime Receiver,Uncommon (23.33%)
,
Axi A11 Relic (Flawless),Axi A11 Relic (Flawless)
Atlas Prime Neuroptics Blueprint,Rare (6.00%)
Pangolin Prime Blade,Uncommon (17.00%)
Wukong Prime Systems Blueprint,Uncommon (17.00%)
Zhuge Prime String,Uncommon (20.00%)
Fang Prime Blueprint,Uncommon (20.00%)
Burston Prime Receiver,Uncommon (20.00%)
,
Axi A11 Relic (Radiant),Axi A11 Relic (Radiant)
Atlas Prime Neuroptics Blueprint,Uncommon (10.00%)
Pangolin Prime Blade,Uncommon (20.00%)
Wukong Prime Systems Blueprint,Uncommon (20.00%)
Zhuge Prime String,Uncommon (16.67%)
Fang Prime Blueprint,Uncommon (16.67%)
Burston Prime Receiver,Uncommon (16.67%)
,
Axi A12 Relic (Intact),Axi A12 Relic (Intact)
Akbolto Prime Receiver,Rare (2.00%)
Helios Prime Systems,Uncommon (11.00%)
Banshee Prime Blueprint,Uncommon (11.00%)
Forma Blueprint,Uncommon (25.33%)
Mirage Prime Chassis Blueprint,Uncommon (25.33%)
Kogake Prime Boot,Uncommon (25.33%)
,
Axi A12 Relic (Exceptional),Axi A12 Relic (Exceptional)
Akbolto Prime Receiver,Rare (4.00%)
Helios Prime Systems,Uncommon (13.00%)
Banshee Prime Blueprint,Uncommon (13.00%)
Forma Blueprint,Uncommon (23.33%)
Mirage Prime Chassis Blueprint,Uncommon (23.33%)
Kogake Prime Boot,Uncommon (23.33%)
,
Axi A12 Relic (Flawless),Axi A12 Relic (Flawless)
Akbolto Prime Receiver,Rare (6.00%)
Helios Prime Systems,Uncommon (17.00%)
Banshee Prime Blueprint,Uncommon (17.00%)
Forma Blueprint,Uncommon (20.00%)
