The Sergeant,Resource Drop Chance: 100.00%,Resource Drop Chance: 100.00%.1
,Region Resource,Very Common (97.42%)
,Orokin Cell,Rare (2.58%)
,,
Vem Tabook,Resource Drop Chance: 50.00%,Resource Drop Chance: 50.00%
,Neurodes,Very Common (100.00%)
,,
Leekter,Resource Drop Chance: 25.00%,Resource Drop Chance: 25.00%
,Neurodes,Very Common (100.00%)
,,
Shik Tal,Resource Drop Chance: 25.00%,Resource Drop Chance: 25.00%
,Neurodes,Very Common (100.00%)
,,
Amalgam Moa,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Amalgam Kucumatz,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Demolyst Machinist,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Demolyst Heqet,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Amalgam Osprey,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Demolyst Moa,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Amalgam Satyr,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Demolyst Osprey,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Amalgam Alkonost,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Amalgam Machinist,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Demolyst Satyr,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Amalgam Heqet,Resource Drop Chance: 10.00%,Resource Drop Chance: 10.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
,Orokin Cell,Rare (3.81%)
,,
Vapos Tech,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Sapping Osprey,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Elite Crewman,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Tech Ranger,Resource Drop Chance: 15.00%,Resource Drop Chance: 15.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Elite Ranger,Resource Drop Chance: 15.00%,Resource Drop Chance: 15.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Nullifier Ranger,Resource Drop Chance: 15.00%,Resource Drop Chance: 15.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Detron Ranger,Resource Drop Chance: 15.00%,Resource Drop Chance: 15.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Sniper Ranger,Resource Drop Chance: 15.00%,Resource Drop Chance: 15.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Moa,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Anti Moa,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Prod Crewman,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Nullifier,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Railgun Moa,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Crewman,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Bioengineer,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Shield Osprey,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Shockwave Moa,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Detron Crewman,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Sniper Crewman,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Vapos Oxium Osprey,Resource Drop Chance: 100.00%,Resource Drop Chance: 100.00%
,Oxium,Very Common (100.00%)
,,
Vapos Fusion Moa,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Region Resource,Very Common (100.00%)
,,
Amalgam Cinder Machinist,Resource Drop Chance: 7.00%,Resource Drop Chance: 7.00%
,Hexenon,Very Common (71.90%)
,Region Resource,Uncommon (24.29%)
