Vem Tabook,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%.1
,Grustrag Sigil,Very Common (100.00%)
,,
Corrupted Jackal,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Jackal Sigil,Very Common (100.00%)
,,
Tusk Thumper Doma,Sigil Drop Chance: 200.00%,Sigil Drop Chance: 200.00%
,Maprico,Uncommon (25.00%)
,Sentirum,Uncommon (25.00%)
,Nyth,Uncommon (25.00%)
,Seram Beetle Shell,Uncommon (25.00%)
,,
Tusk Thumper Bull,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Maprico,Uncommon (25.00%)
,Sentirum,Uncommon (25.00%)
,Nyth,Uncommon (25.00%)
,Seram Beetle Shell,Uncommon (25.00%)
,,
Leaping Thrasher,Sigil Drop Chance: 5.00%,Sigil Drop Chance: 5.00%
,Leaping Thrasher Sigil,Very Common (100.00%)
,,
Eidolon Gantulyst,Sigil Drop Chance: 10.00%,Sigil Drop Chance: 10.00%
,Gantulyst Sigil,Very Common (100.00%)
,,
Eidolon Teralyst,Sigil Drop Chance: 10.00%,Sigil Drop Chance: 10.00%
,Teralyst Sigil,Very Common (100.00%)
,,
Eidolon Hydrolyst,Sigil Drop Chance: 10.00%,Sigil Drop Chance: 10.00%
,Hydrolyst Sigil,Very Common (100.00%)
,,
Wolf Of Saturn Six,Sigil Drop Chance: 2.00%,Sigil Drop Chance: 2.00%
,Saturn Six Mask,Very Common (100.00%)
,,
Alad V,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Alad V Sigil,Very Common (100.00%)
,,
Ambulas,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Ambulas Sigil,Very Common (100.00%)
,,
Captain Vor,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Vor Sigil,Very Common (100.00%)
,,
Lynx,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Lynx Sigil,Very Common (100.00%)
,,
Lephantis,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
,Lephantis Sigil,Very Common (100.00%)
,,
Infested Corpus,Sigil Drop Chance: 100.00%,Sigil Drop Chance: 100.00%
